Country,People using safely managed drinking water services % of population 2017,People using safely managed sanitation services % of population 2017,Access to electricity % of population 2017,Renewable energy consumption % of total final energy consumption 2015_x,Expenditures for R&D % of GDP 2015,Urban population living in slums % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014_x,Nationally protected terrestrial and marine areas % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017,Rural population % of total 2000,Rural population % of total 2018,Rural population growth (annual %)  2018,Land area sq. km thousands 2016,Land use Forest area % of land area 2000,Land use Forest area % of land area 2016,Land use Permanent cropland % of land area 2000,Land use Permanent cropland % of land area 2016,Land use Arable land % of land area 2000,Land use Arable land % of land area 2016,Arable land hectares per person 2000,Arable land hectares per person 2016,Access to electricity % of population 2000,Access to electricity % of population 2016,Access to electricity % of urban population 2016,Access to electricity % of rural population 2016,Access to clean fuels and technologies for cooking % of population 2000,Access to clean fuels and technologies for cooking % of population 2016,Renewable energy consumption % of total final energy consumption 2000,Renewable energy consumption % of total final energy consumption 2015_y,Renewable electricity output % of total electricity output 2000,Renewable electricity output % of total electricity output 2015,Agricultural land % of land area 2000-02,Agricultural land % of land area 2014-16,Agricultural land % irrigated 2014-16,Average annual precipitation millimeters 2014,Land under cereal production hectares thousands 2000-02,Land under cereal production hectares thousands 2014-16,Fertilizer consumption % of fertilizer production 2014-16,Fertilizer consumption kilograms per hectare of arable land 2014-16,Agricultural employment % of total employment 2000-02,Agricultural employment % of total employment 2014-16,Agricultural machinery tractors per 100 sq. km of arable land 2000,Agricultural machinery tractors per 100 sq. km of arable land 2009,Exposure to impact Land area where elevation is below 5 meters % of land area 2010,Exposure to impact Population living in areas where elevation is below 5 meters % of total population 2010,"Exposure to impact Population affected by droughts, floods, and extreme temperatures average annual; % of total population 2009",Exposure to impact Urban land area where elevation is below 5 meters % of urban land area 2010,Exposure to impact Rural population living in areas where elevation is below 5 meters % of rural population 2010,Exposure to impact Rural land area where elevation is below 5 meters % of rural land area 2010,Exposure to impact Urban population living in areas where elevation is below 5 meters % of urban population 2010,"Resilience Disaster risk reduction progress score 1, worst to 5,best 2011",Net energy imports % of energy use 1990,Net energy imports % of energy use 2015,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 1990,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 2015,Carbon dioxide emissions Total thousand metric tons 1990,Carbon dioxide emissions Total thousand metric tons 2014,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014,Carbon dioxide emissions per capita metric tons 1990,Carbon dioxide emissions per capita metric tons 2014_y,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 1990,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 2014,Annual freshwater withdrawals Flows billion cu. m 2014,Annual freshwater withdrawals billion cu. m 2014,Annual freshwater withdrawals % of internal resources 2014,Annual freshwater withdrawals % for agriculture 2015,Annual freshwater withdrawals % for industry 2014,Water productivity % of domestic 2015,People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015,People using at least basic drinking water services Urban % of urban population 2018,People using at least basic drinking water services Rural % of Rural population 2018,Total greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Total greenhouse gas emissions % change 1990-2012,Methane emissions thousand metric tons of carbon dioxide equivalent 2012,Methane emissions % change 1990-2012,Methane emissions From energy processes % of total 2008,Methane emissions Agricultural % of total 2008,Nitrous oxide emissions thousand metric tons of carbon dioxide equivalent 2012,Nitrous oxide emissions % change 1990-2012,Nitrous oxide emissions From energy processes % of total 2008,Nitrous oxide emissions Agricultural % of total 2008,Other greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Other greenhouse gas emissions % change 1990-2012,Health expenditure Current % of GDP 2016,Health expenditure Public % of current 2016,Health expenditure Out of pocket % of current 2016,Health expenditure per capita $ 2016,Health expenditure per capita current PPP $ 2016,External health expenditure (% of current health expenditure)  2016,"Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce per 100,000 population 2008-18",Completeness of birth registration % 2009-18,Completeness of death registration % 2008-16,"Incidence of tuberculosis per 100,000 people 2018",output
Russian Federation,76.0,61.3,100.0,3.3,1.1,45.734939759036145,16.2,8.0,11.9,7.6,11.6,76.0,27.0,26.0,-0.6,171.07621621621624,49.4,49.8,0.1,0.1,7.6,7.5,0.85,0.85,100.0,100.0,100.0,100.0,92.7,98.3,3.5,3.3,18.7,15.9,13.0,13.0,10.086792452830188,460.0,278.22336448598134,260.49223300970874,10.9,18.5,11.3,6.7,60.1,27.1,0.8,1.2,0.1,0.0,0.3,0.8,0.9,3.2987951807228924,-47.0,-84.0,3.5,5.2,339.6545454545454,405.780487804878,2.6,2.4,14.0,11.9,0.8,0.5,96.0655172413793,61.0,1.4,48.22330097087379,19.7984496124031,28.303030303030305,28.0,98.6,92.6,381.29999999999995,-22.0,152.66666666666666,-12.7,79.5,8.2,221.65217391304347,-59.4,11.5,49.6,109.12765957446808,1.5,5.3,57.0,40.5,469.1,386.33181818181816,9.116766467065869,4.0,8.6,63.1,100.0,100.0,54.0,0
Rwanda,79.07499999999999,68.34255319148937,34.1,86.7,0.7,53.2,42.8,-4.4,0.1,9.1,2.5,21.8,85.0,83.0,2.5,24.7,13.9,19.7,10.1,10.1,36.5,46.7,0.11,0.1,6.2,29.4,80.0,19.0,0.3,0.6,86.7,86.7,96.5,56.9,74.0,73.0,10.086792452830188,480.17894736842106,299.9,454.4,145.89054054054054,10.9,87.7,67.5,0.7,0.5,4.993181818181818,7.268750000000001,1.3,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,543.0,840.0,2.3329113924050633,2.135,0.1,0.1,0.1,0.0,9.5,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,82.2,52.6,381.29999999999995,105.7,152.66666666666666,98.2,33.3,38.7,221.65217391304347,137.5,10.1,79.7,769.0,198.6,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56.0,89.30934579439251,59.0,0
Samoa,58.8,48.5,96.8,34.3,0.8568,45.734939759036145,11.4,6.700680272108843,1.0,0.2,3.1,33.6,78.0,82.0,0.7,2.8,60.4,60.4,11.0,7.8,4.9,2.8,0.08,0.04,87.3,99.8,99.9,99.8,20.2,32.3,45.4,34.3,49.6,30.4,17.0,12.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,4.6,40.0,5.3,60.0,72.3,0.4,1.4,0.0,0.0,0.3,0.3,1.1,3.5,-29.218045112781954,-16.47142857142857,13.9,9.64963503649635,103.0,198.0,2.4,2.135,0.6,1.0,0.2,0.2,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,100.0,96.8,356.1,24.0,133.0,16.2,5.1,70.5,40.0,17.1,6.4,82.7,55.0,-100.0,5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59.0,89.30934579439251,6.0,0
San Marino,100.0,77.2,100.0,29.48047619047619,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,4.882758620689655,12.923923444976076,7.763095238095239,60.2,7.0,3.0,-5.1,0.1,0.0,0.0,4.659375,4.519587628865979,16.7,16.7,0.04,0.03,100.0,100.0,100.0,100.0,100.0,100.0,31.872815533980578,29.48047619047619,0.0,0.0,17.0,17.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,0.0,0.0,1.1714285714285713,0.0,0.0,0.0,0.0,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,4.579274611398964,4.905940594059406,0.32500000000000007,0.2513089005235602,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,221.65217391304347,25.64776119402985,8.986138613861387,63.42623762376239,109.12765957446808,80.69254658385093,6.4,80.4,18.8,262.8720588235294,386.33181818181816,9.116766467065869,6.1,8.8,112.9,100.0,89.30934579439251,0.0,0
Sao Tome and Principe,79.07499999999999,68.34255319148937,72.5,41.1,0.8568,86.6,28.7,6.700680272108843,0.6,0.2,7.763095238095239,29.9,47.0,27.0,-1.1,1.0,58.3,55.8,43.8,40.6,6.3,9.1,0.04,0.04,52.9,70.1,79.9,46.0,17.7,16.8,54.7,41.1,26.1,10.5,53.0,51.0,10.086792452830188,480.17894736842106,1.2,0.5,145.89054054054054,141.3229299363057,29.8,24.2,207.31297709923663,194.94313725490193,0.9,1.3,1.1714285714285713,0.1,0.2,0.8,1.1,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,48.0,114.0,2.0,2.135,0.4,0.6,0.32500000000000007,0.2,2.2,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,87.1,77.0,195.5,100.6,46.0,60.6,40.1,12.6,10.0,56.3,14.3,50.8,87.0,-100.0,6.0,39.9,14.4,105.1,196.9,44.6,0.3,2.3,37.93714285714286,95.0,89.30934579439251,124.0,1
Saudi Arabia,79.07499999999999,77.8,100.0,0.0,0.8,45.734939759036145,84.5,13.4,19.4,4.5,1.5,82.1,20.0,16.0,0.4,171.07621621621624,0.5,0.5,0.1,0.1,1.7,1.6,0.17,0.11,75.34093264248705,100.0,100.0,100.0,94.9,96.0,0.0,0.0,0.0,0.0,81.0,81.0,10.086792452830188,59.0,704.8,267.0,13.3,176.9,4.7,5.0,26.9,194.94313725490193,0.4,5.2,0.0,0.1,0.6,0.3,4.6,3.2987951807228924,-535.0,-192.0,12.0,7.2,339.6545454545454,405.780487804878,3.2,2.8,11.4,19.4,0.3,0.4,2.4,22.6,943.3,88.0,3.0,9.0,21.0,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,104.5,85.5,3.4,221.65217391304347,1.8,14.9,45.4,109.12765957446808,18.5,5.7,67.8,14.3,262.8720588235294,386.33181818181816,0.0,2.4,5.7,37.93714285714286,84.20245398773007,51.0,10.0,0
Senegal,79.07499999999999,21.5,61.7,42.7,0.6,39.4,38.7,12.3,0.6,14.6,7.763095238095239,46.0,60.0,53.0,1.9,192.5,46.2,42.8,0.3,0.4,17.3,16.6,0.34,0.21,37.7,64.5,87.7,44.5,31.8,31.7,47.5,42.7,3.3,10.4,45.0,46.0,10.086792452830188,686.0,278.22336448598134,260.49223300970874,8.0,16.4,47.7,33.0,1.8,2.2,3.5,10.1,0.6,0.1,4.2,3.4,5.8,2.8,43.0,53.0,10.4,10.4,339.6545454545454,405.780487804878,1.9,2.2,0.4,0.6,0.2,0.2,25.8,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,92.3,70.5,381.29999999999995,391.9,152.66666666666666,76.4,16.5,65.6,221.65217391304347,121.1,2.5,87.9,109.12765957446808,80.69254658385093,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,89.30934579439251,118.0,1
Serbia,74.7,24.7,100.0,21.2,0.8,45.734939759036145,24.8,-3.2,5.3,6.6,1.2,70.3,47.0,44.0,-0.9,87.5,28.3,31.1,4.659375,2.1,13.962068965517242,29.7,0.22561576354679802,0.37,100.0,100.0,100.0,100.0,52.0,76.4,23.6,21.2,35.1,26.9,38.1764705882353,39.0,1.3,686.0,278.22336448598134,260.49223300970874,302.5,244.8,24.2,18.6,26.2,22.0,4.993181818181818,7.268750000000001,0.0,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,30.0,29.0,9.469655172413793,7.5,339.6545454545454,405.780487804878,2.3329113924050633,2.8,4.579274611398964,5.3,0.32500000000000007,0.4,8.4,4.2,49.4,3.0,19.7984496124031,28.303030303030305,11.0,83.3,88.4,381.29999999999995,71.66397849462365,152.66666666666666,-100.0,0.0,0.0,221.65217391304347,-100.0,0.0,0.0,109.12765957446808,80.69254658385093,9.1,58.0,40.5,494.4,386.33181818181816,0.1,3.1,6.1,86.7,99.0,90.0,17.0,0
Seychelles,79.07499999999999,68.34255319148937,100.0,1.4,0.2,45.734939759036145,20.4,6.700680272108843,5.4,0.1,7.5,58.8,50.0,43.0,0.0,0.5,88.4,88.4,6.5,3.0,2.2,0.3,0.01,0.0,94.0,100.0,100.0,100.0,76.8,90.4,0.6,1.4,0.0,2.4,9.0,3.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,521.7,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,16.4,16.6,0.1,2.2,14.2,14.2,2.5,3.2987951807228924,-29.218045112781954,-16.47142857142857,26.3,9.64963503649635,150.0,495.0,4.0,2.135,2.2,5.4,0.2,0.2,96.0655172413793,0.0,48.766666666666666,48.22330097087379,28.0,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,910.3,149.2,24.0,35.6,16.0,14.0,23.0,72.5,21.6,22.4,382.0,0.0,3.9,96.0,2.1,596.9,386.33181818181816,1.9,0.9,3.3,48.6,84.20245398773007,100.0,18.0,0
Sierra Leone,9.9,13.3,23.4,77.7,0.8568,75.6,21.3,-33.5,0.2,3.3,1.7,9.0,64.0,58.0,1.4,72.2,40.5,43.1,1.7,2.3,6.8,21.9,0.11,0.22,75.34093264248705,20.3,46.9,1.6,0.1,1.0,89.3,77.7,16.6,61.0,45.0,55.0,10.086792452830188,480.17894736842106,468.4,863.8,145.89054054054054,141.3229299363057,68.5,59.5,1.7,194.94313725490193,2.9,3.8,0.2,0.0,2.9,2.8,0.9,3.0,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,488.0,405.780487804878,2.3329113924050633,2.135,0.1,0.2,0.1,0.1,160.0,0.2,0.1,48.22330097087379,26.0,28.303030303030305,55.86915887850467,75.8,50.1,381.29999999999995,22.7,152.66666666666666,15.2,24.2,57.3,221.65217391304347,34.7,3.3,79.9,109.12765957446808,24.5,16.5,11.2,41.6,86.3,244.0,41.0,0.0,1.0,0.1,81.0,89.30934579439251,298.0,1
Singapore,100.0,100.0,100.0,0.7,2.3,45.734939759036145,18.8,36.8,10.3,2.5,0.3,84.4,0.0,0.0,0.19162561576354678,0.7,24.4,23.1,0.3,0.1,1.5,0.8,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.3,0.7,0.8,1.8,2.0,1.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,0.8,0.5,207.31297709923663,194.94313725490193,8.2,10.3,1.1714285714285713,4.5,4.7,3.7,5.7,3.2987951807228924,99.0,98.0,9.2,16.0,339.6545454545454,405.780487804878,3.9,2.0,14.6,10.3,0.4,0.1,0.6,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,100.0,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,143.3,59.2,1.4,221.65217391304347,111.2,4.7,1.8,109.12765957446808,413.4,4.5,54.5,31.2,262.8720588235294,386.33181818181816,0.0,2.3,7.2,31.5,84.20245398773007,74.0,47.0,0
Sint Maarten (Dutch part),79.07499999999999,68.34255319148937,100.0,0.0,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,19.5,8.1,7.763095238095239,55.16731707317073,0.0,0.0,0.19162561576354678,0.0,32.58980582524272,32.120388349514556,4.659375,4.519587628865979,13.962068965517242,14.050731707317071,0.22561576354679802,0.19107843137254904,75.34093264248705,100.0,100.0,100.0,55.68989361702128,64.84840425531915,31.872815533980578,0.0,0.0,0.0,38.1764705882353,37.69417475728155,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,1.1714285714285713,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,733.0,2.3329113924050633,2.135,4.579274611398964,19.5,0.32500000000000007,0.6,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,221.65217391304347,25.64776119402985,8.986138613861387,63.42623762376239,109.12765957446808,80.69254658385093,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,19.0,0
Slovak Republic,99.8,82.5,100.0,13.4,1.2,45.734939759036145,17.4,5.6,5.7,37.6,0.8,81.6,44.0,46.0,0.2,48.1,39.9,40.4,1.0,0.4,31.8,28.0,0.28,0.25,100.0,100.0,100.0,100.0,93.8,96.6,3.7,13.4,15.0,22.7,47.0,39.0,1.2,824.0,820.0,753.8,59.5,125.8,6.6,2.9,153.7,154.6,4.993181818181818,7.268750000000001,0.0,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,75.0,61.0,3.4,9.5,339.6545454545454,405.780487804878,2.4,1.9,8.3,5.7,0.7,0.2,12.6,0.6,4.4,4.0,49.0,46.0,175.0,99.6,100.0,381.29999999999995,-35.9,152.66666666666666,-36.8,23.0,33.5,221.65217391304347,-46.9,12.2,37.4,109.12765957446808,347.1,7.1,79.8,17.8,262.8720588235294,386.33181818181816,0.0,2.5,9.2,53.9,100.0,100.0,6.0,0
Slovenia,98.1,83.0,100.0,20.9,2.2,45.734939759036145,15.9,10.1,6.2,55.1,1.0,78.9,49.0,45.0,-0.5,20.1,61.2,62.0,1.5,2.7,8.6,9.1,0.09,0.09,100.0,100.0,100.0,100.0,88.9,96.2,15.9,20.9,28.7,29.4,25.0,31.0,0.5,480.17894736842106,100.4,99.4,145.89054054054054,258.9,9.7,5.0,207.31297709923663,194.94313725490193,0.1,0.8,0.0,0.1,0.1,0.0,0.7,3.2987951807228924,46.0,49.0,6.6,9.2,339.6545454545454,405.780487804878,2.4,1.9,6.3,6.2,0.4,0.2,18.7,1.2,6.2,0.0,85.0,14.0,40.0,99.7,99.4,381.29999999999995,5.5,152.66666666666666,-7.0,38.9,36.5,221.65217391304347,-8.1,12.1,72.3,109.12765957446808,-36.3,8.5,72.3,12.0,262.8720588235294,386.33181818181816,9.116766467065869,3.0,9.7,66.7,100.0,100.0,5.0,0
Solomon Islands,79.07499999999999,68.34255319148937,62.9,63.3,0.8568,45.734939759036145,11.8,6.700680272108843,0.3,0.2,7.763095238095239,11.9,84.0,76.0,2.0,28.0,81.0,77.9,2.0,2.9,0.5,0.7,0.03,0.03,6.6,58.6,70.6,55.1,6.3,8.5,66.9,63.3,0.0,2.3,3.0,4.0,10.086792452830188,480.17894736842106,0.5,1.6,145.89054054054054,141.3229299363057,65.6,61.7,207.31297709923663,194.94313725490193,1.6,2.9,0.1,0.0,1.8,1.6,1.0,2.0,-29.218045112781954,-16.47142857142857,11.0,9.64963503649635,147.0,202.0,2.8,2.135,0.5,0.3,0.2,0.2,44.7,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,91.4,60.6,381.29999999999995,-22.2,152.66666666666666,-29.2,1.0,96.8,221.65217391304347,-27.6,0.2,99.3,229.0,-100.0,5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88.0,89.30934579439251,74.0,0
Somalia,79.07499999999999,68.34255319148937,32.9,94.3,0.8568,73.6,31.8,6.700680272108843,0.0,0.8,7.763095238095239,2.0,67.0,55.0,1.8,627.3,12.0,10.0,0.0,0.0,1.7,1.8,0.12,0.08,7.4,31.2,60.7,8.1,0.6,2.3,93.3,94.3,0.0,0.0,70.0,70.0,10.086792452830188,282.0,574.0,280.7,145.89054054054054,141.3229299363057,74.0,72.5,9.6,12.0,0.3,2.5,4.6,0.0,1.2,0.3,1.3,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,733.0,609.0,2.3329113924050633,2.135,0.1,0.0,0.32500000000000007,0.2513089005235602,6.0,24.320143884892087,55.0,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,82.9,28.1,381.29999999999995,22.1,152.66666666666666,24.1,16.6,77.9,221.65217391304347,22.9,5.1,90.8,-392.0,-20.4,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,0.0,0.1,0.2,84.20245398773007,89.30934579439251,262.0,1
South Africa,79.07499999999999,68.34255319148937,84.4,17.2,0.8,23.0,25.1,0.6,9.0,10.3,33.8,56.2,43.0,34.0,-0.1,171.07621621621624,7.6,7.6,0.3,0.3,11.4,10.3,0.31,0.22,71.7,84.2,93.0,67.7,56.4,84.8,18.5,17.2,0.7,2.3,81.0,80.0,10.086792452830188,495.0,278.22336448598134,260.49223300970874,182.5,58.5,10.9,5.6,52.3,47.5,0.1,0.2,1.8,0.0,0.1,0.1,0.1,3.2987951807228924,-26.0,-14.0,4.0,4.6,339.6545454545454,405.780487804878,3.4,3.3,8.5,9.0,0.9,0.7,44.8,15.5,34.6,63.0,10.0,27.0,26.0,98.9,80.7,381.29999999999995,43.8,152.66666666666666,18.3,47.1,30.3,221.65217391304347,-7.6,11.9,63.8,109.12765957446808,894.6,8.1,53.7,7.8,428.2,386.33181818181816,1.9,0.9,3.5,11.4,89.0,91.0,520.0,1
South Sudan,79.07499999999999,68.34255319148937,25.4,39.1,0.8568,95.6,44.8,6.700680272108843,0.1,15.5,13.9,8.0,83.0,80.0,0.3,171.07621621621624,32.58980582524272,32.120388349514556,4.659375,4.519587628865979,13.962068965517242,14.050731707317071,0.22561576354679802,0.19107843137254904,75.34093264248705,22.0,36.8,18.5,0.5,0.6,31.872815533980578,39.1,0.0,0.6,38.1764705882353,37.69417475728155,10.086792452830188,900.0,278.22336448598134,548.0,145.89054054054054,141.3229299363057,44.6,48.1,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,1.1714285714285713,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,27.4,339.6545454545454,405.780487804878,2.3329113924050633,2.1,4.579274611398964,0.1,0.32500000000000007,0.1,26.0,0.7,2.5,36.0,34.0,29.0,21.0,64.8,34.9,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,221.65217391304347,25.64776119402985,8.986138613861387,63.42623762376239,109.12765957446808,80.69254658385093,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,0.3,35.0,89.30934579439251,146.0,1
Spain,98.4,96.6,100.0,16.3,1.2,45.734939759036145,9.7,9.1,5.0,15.0,0.7,84.6,24.0,20.0,-0.9,499.6,34.0,36.9,9.8,9.4,26.9,24.7,0.33,0.27,100.0,100.0,100.0,100.0,100.0,100.0,7.9,16.3,15.6,34.9,59.0,53.0,13.8,636.0,278.22336448598134,260.49223300970874,110.5,144.0,6.0,4.2,671.4,831.2,0.8,4.4,0.7,0.4,0.9,0.4,3.5,3.2987951807228924,62.0,71.0,10.3,12.6,339.6545454545454,405.780487804878,2.4,2.0,5.6,5.0,0.2,0.2,111.2,36.8,33.0,68.0,18.0,14.0,37.0,99.9,100.0,381.29999999999995,18.7,152.66666666666666,13.4,9.2,55.5,221.65217391304347,-20.3,11.1,65.5,109.12765957446808,105.5,9.0,71.2,23.8,262.8720588235294,386.33181818181816,9.116766467065869,4.1,5.5,79.9,100.0,100.0,9.0,0
Sri Lanka,79.07499999999999,68.34255319148937,97.5,52.9,0.1,45.734939759036145,14.0,28.5,0.9,3.4,2.4,34.1,82.0,82.0,0.9,62.7,35.0,32.9,15.9,15.9,14.6,20.7,0.05,0.06,63.6,95.8,100.0,94.8,15.6,26.3,64.2,52.9,45.8,48.5,38.0,44.0,10.086792452830188,480.17894736842106,848.8,999.8,145.89054054054054,131.9,38.4,27.0,207.31297709923663,194.94313725490193,2.1,3.0,2.2,0.4,1.5,1.7,1.4,3.5,24.0,50.0,11.3,20.7,339.6545454545454,405.780487804878,0.7,1.7,0.2,0.9,0.1,0.1,52.8,13.0,24.5,48.22330097087379,6.0,28.303030303030305,55.86915887850467,96.9,87.7,381.29999999999995,65.7,152.66666666666666,3.0,5.1,67.1,221.65217391304347,23.6,13.1,64.5,988.0,-89.6,3.9,43.1,50.1,153.1,491.5,1.1,1.0,2.1,2.8,84.20245398773007,89.30934579439251,64.0,0
St. Kitts and Nevis,79.07499999999999,68.34255319148937,100.0,1.6,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,4.5,0.3,34.2,80.7,67.0,69.0,0.8,0.3,42.3,42.3,1.9,0.4,26.9,19.2,0.16,0.1,93.5,100.0,100.0,100.0,100.0,100.0,26.6,1.6,0.0,4.6,31.0,23.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,0.5,31.26096256684492,25.916042780748665,207.1,55.0,3.8,3.9,1.1714285714285713,1.7,1.9,2.0,2.0,3.5,-29.218045112781954,-16.47142857142857,29.2,9.64963503649635,106.0,231.0,4.9,2.135,2.6,4.5,0.2,0.2,0.0,0.0,51.3,1.0,0.0,99.0,62.0,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,30.0,16.4,1.2,34.3,15.0,90.2,8.8,63.6,109.12765957446808,80.69254658385093,5.7,43.2,51.5,930.8,386.33181818181816,0.0,2.5,4.0,33.5,84.20245398773007,79.0,0.0,0
St. Lucia,79.07499999999999,68.34255319148937,98.8,2.1,0.8568,45.734939759036145,22.4,-2.3,2.3,0.9,15.8,50.8,72.0,81.0,0.4,0.6,34.8,33.2,17.9,11.5,3.3,4.9,0.01,0.02,89.9,98.1,96.6,98.4,86.3,97.2,2.6,2.1,0.0,0.0,21.0,17.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,170.9,19.2,10.2,675.0,58.3,1.6,1.6,1.1714285714285713,0.8,0.7,0.7,0.9,3.3,-29.218045112781954,-16.47142857142857,23.8,9.64963503649635,161.0,407.0,2.9,2.135,1.2,2.3,0.1,0.2,0.3,0.0,14.3,71.0,0.0,29.0,31.0,97.8,98.2,598.8,115.3,44.0,18.2,5.4,44.7,35.0,13.5,10.5,48.7,4.0,100.0,5.3,42.0,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92.0,85.0,3.0,0
